3.353861386625187069e-02,6.409713218838215820e-02,5.526376116551910689e-02,0.000000000000000000e+00,7.698601405424036759e-02,3.728652882282462722e-01,7.465689119409939511e-01,9.732051315956228299e-01,1.000000000000000000e+00,8.143319502097813301e-01,5.715446970984245922e-01,2.541513275351114376e-01,1.376915258929680697e-01
8.818502643888688208e-01,1.000000000000000000e+00,6.563804867996853032e-01,2.292145548392444943e-01,6.209526534152523536e-02,1.817084089508577693e-01,5.109196314216842838e-01,7.978877383388073286e-01,9.620130247296144743e-01,7.474170010171815592e-01,4.196669907002144040e-01,7.073734377306524490e-02,0.000000000000000000e+00
1.000000000000000000e+00,9.313442511540046542e-01,5.453689919814221909e-01,1.357572486479788343e-01,0.000000000000000000e+00,7.873441912579318136e-02,3.790826711312957897e-01,6.055316582705296824e-01,7.164032843579972720e-01,5.579548690063679262e-01,3.798523384621540488e-01,1.359222080459233928e-01,1.778666412219303272e-01
1.000000000000000000e+00,9.613007044101229415e-01,6.822007063598326537e-01,2.045497256668044050e-01,0.000000000000000000e+00,1.234681130065174021e-01,4.885259457840313568e-01,7.299195358846163328e-01,8.639865873697836207e-01,6.459302586595337958e-01,4.597023167895654683e-01,3.064624863042053615e-01,3.596591442602023458e-01
7.384669018180884947e-01,6.728953746015885473e-01,3.160003626819674616e-01,4.875144298408718574e-02,0.000000000000000000e+00,1.926492013099323219e-01,5.431992698810682585e-01,7.763810870913796514e-01,1.000000000000000000e+00,8.667269052638238991e-01,6.384894245634035181e-01,3.596036320230101002e-01,1.670806979510476298e-01
9.889903613589862141e-01,7.990505066249418142e-01,2.900963902284769969e-01,7.405205465846324830e-03,0.000000000000000000e+00,2.805757954427517964e-01,6.517071844159968430e-01,8.685380750819756690e-01,1.000000000000000000e+00,8.542690294625362446e-01,6.631546960810099645e-01,3.774700052845462173e-01,2.564285267574515914e-01
1.000000000000000000e+00,9.543265001884730925e-01,6.281845505502590132e-01,1.954014874456237727e-01,0.000000000000000000e+00,8.725816253799674460e-02,4.475558582856443146e-01,7.245819792977210572e-01,8.632335901711600812e-01,6.830617499158477823e-01,4.273590891653291091e-01,1.270778327491709769e-01,7.847677119385099154e-02
7.287432418177187676e-01,5.256839370286205959e-01,1.197558190750478146e-01,0.000000000000000000e+00,1.217575429242625379e-01,4.575325134216614020e-01,8.040440266918043033e-01,9.824469954048851150e-01,1.000000000000000000e+00,8.421507806855308420e-01,6.390222713286831668e-01,4.105213681294544448e-01,3.146135206647341365e-01
7.253128235650243560e-01,5.790934719350151472e-01,2.327039076334637135e-01,3.459684730418969428e-02,5.697178399843051688e-02,3.033606222530362828e-01,6.661464410551446447e-01,9.038244857179179581e-01,1.000000000000000000e+00,7.463705884833895521e-01,4.746051727279678722e-01,1.520011290685358840e-01,0.000000000000000000e+00
1.000000000000000000e+00,8.686478345490080688e-01,4.179494946714534254e-01,7.680581952998910555e-02,0.000000000000000000e+00,1.929371764593058869e-01,5.436089920903820483e-01,7.710311809164309693e-01,8.212417611043367760e-01,6.287131317998534419e-01,4.035265625209010221e-01,1.471041209838101771e-01,1.161471615344346620e-01
